title,genre,year,rating,duration
Inception,Science Fiction,2010,8.8,148
The Dark Knight,Action,2008,9.0,152
Interstellar,Science Fiction,2014,8.7,169
Titanic,Romance,1997,7.9,195
The Matrix,Science Fiction,1999,8.7,136
Forrest Gump,Drama,1994,8.8,142
Gladiator,Action,2000,8.5,155
The Notebook,Romance,2004,7.8,123
Parasite,Thriller,2019,8.5,132
Joker,Drama,2019,8.4,122
Avengers: Endgame,Action,2019,8.4,181
La La Land,Romance,2016,8.0,128
The Godfather,Drama,1972,9.2,175
Get Out,Thriller,2017,7.8,104
Toy Story,Animation,1995,8.3,81
